junin ,, 0.9534 
junin , tunuyan , 0.9486 
junin , tunuyan agua_amarga , 0.9305 
junin , tunuyan las_paredes , 0.9556 
junin , tunuyan la_llave , 0.9363 
junin , agua_amarga , 0.9417 
junin , agua_amarga las_paredes , 0.945 
junin , agua_amarga la_llave , 0.9323 
junin , las_paredes , 0.9406 
junin , las_paredes la_llave , 0.9306 
junin , la_llave , 0.9615 
junin , todos , 0.9304 
tunuyan ,, 0.9494 
tunuyan , junin , 0.9491 
tunuyan , junin agua_amarga , 0.9414 
tunuyan , junin las_paredes , 0.9489 
tunuyan , junin la_llave , 0.9546 
tunuyan , agua_amarga , 0.9419 
tunuyan , agua_amarga las_paredes , 0.9476 
tunuyan , agua_amarga la_llave , 0.93 
tunuyan , las_paredes , 0.9574 
tunuyan , las_paredes la_llave , 0.9557 
tunuyan , la_llave , 0.9507 
tunuyan , todos , 0.9442 
agua_amarga ,, 0.9353 
agua_amarga , junin , 0.9478 
agua_amarga , junin tunuyan , 0.9379 
agua_amarga , junin las_paredes , 0.9509 
agua_amarga , junin la_llave , 0.9315 
agua_amarga , tunuyan , 0.9394 
agua_amarga , tunuyan las_paredes , 0.956 
agua_amarga , tunuyan la_llave , 0.9445 
agua_amarga , las_paredes , 0.917 
agua_amarga , las_paredes la_llave , 0.9386 
agua_amarga , la_llave , 0.9628 
agua_amarga , todos , 0.953 
las_paredes ,, 0.9413 
las_paredes , junin , 0.9336 
las_paredes , junin tunuyan , 0.9319 
las_paredes , junin agua_amarga , 0.9347 
las_paredes , junin la_llave , 0.9253 
las_paredes , tunuyan , 0.9469 
las_paredes , tunuyan agua_amarga , 0.9369 
las_paredes , tunuyan la_llave , 0.927 
las_paredes , agua_amarga , 0.9308 
las_paredes , agua_amarga la_llave , 0.919 
las_paredes , la_llave , 0.9062 
las_paredes , todos , 0.9182 
la_llave ,, 0.9218 
la_llave , junin , 0.9371 
la_llave , junin tunuyan , 0.909 
la_llave , junin agua_amarga , 0.9455 
la_llave , junin las_paredes , 0.9307 
la_llave , tunuyan , 0.9036 
la_llave , tunuyan agua_amarga , 0.9257 
la_llave , tunuyan las_paredes , 0.9455 
la_llave , agua_amarga , 0.9563 
la_llave , agua_amarga las_paredes , 0.9307 
la_llave , las_paredes , 0.9268 
la_llave , todos , 0.9187 
